seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,rho_corr,ensemble_seed
1012,1824,competitor,pid,True,10584,32574.0,46.46,419.86,2.813579,43885396.0,513413021,0.001426,0.001426,363395318,0.0006,17703,1479,-4.3716,0.2972,0.1754,131,0.03,1012
1013,1824,competitor,pid,True,11634,27397.0,24.31,513.6,6.477366,29116358.0,517691050,0.000887,0.000887,367672171,0.0007,18879,1555,-5.0,0.25,0.1719,135,0.03,1013
1014,1824,competitor,pid,True,11706,27397.0,35.85,517.14,4.226688,41654244.0,505807834,0.001308,0.001308,355793175,0.0008,14659,1616,-5.0,0.25,0.1726,127,0.03,1014
1015,1824,competitor,pid,True,10005,31552.0,32.5,414.66,4.12277,68824738.0,497398519,0.00103,0.00103,347388676,0.0006,9843,1435,-4.7615,0.2879,0.171,122,0.03,1015
1016,1824,competitor,pid,True,9964,37622.0,74.67,411.19,1.711697,57897861.0,510691206,0.001985,0.001985,360683424,0.0006,7782,1492,-4.3801,0.3433,0.1734,139,0.03,1016
1017,1824,competitor,pid,True,10200,30599.0,56.99,475.81,2.40261,38949512.0,525316065,0.001862,0.001862,375301060,0.0007,15005,1473,-4.6971,0.2792,0.1859,134,0.03,1017
1018,1824,competitor,pid,True,10894,27397.0,38.52,430.7,3.215269,50827600.0,503692863,0.001406,0.001406,353679845,0.0008,13018,1521,-5.0,0.25,0.1723,131,0.03,1018
1019,1824,competitor,pid,True,9812,38227.0,69.91,364.11,1.529353,67219076.0,499183804,0.001829,0.001829,349156636,0.0005,27168,1475,-4.4268,0.3488,0.1824,119,0.03,1019
1020,1824,competitor,pid,True,10944,27397.0,25.94,485.06,5.342258,41744496.0,504983986,0.000947,0.000947,354968478,0.0007,15508,1541,-5.0,0.25,0.1669,148,0.03,1020
1021,1824,competitor,pid,True,10401,27397.0,55.13,420.22,2.203053,33932083.0,516593404,0.002012,0.002012,366575799,0.0008,17605,1435,-5.0,0.25,0.1717,145,0.03,1021
1022,1824,competitor,pid,True,10514,69560.0,89.37,444.17,1.435572,87998257.0,503197310,0.001285,0.001285,353189632,0.0003,7678,1444,-2.1435,0.6347,0.1598,130,0.03,1022
1023,1824,competitor,pid,True,9717,40139.0,43.47,407.31,2.754863,48494133.0,501111716,0.001083,0.001083,351095462,0.0005,16254,1505,-4.3613,0.3663,0.1676,132,0.03,1023
1024,1824,competitor,pid,True,10175,110961.0,80.75,410.77,1.572635,147951858.0,486753996,0.000728,0.000728,336741320,0.0002,12676,1374,0.1525,1.0125,0.1674,112,0.03,1024
1025,1824,competitor,pid,True,10010,32522.0,38.04,433.04,3.220948,44945730.0,515023572,0.00117,0.00117,365007069,0.0006,16503,1490,-4.7353,0.2968,0.1703,133,0.03,1025
1026,1824,competitor,pid,True,9343,56233.0,91.69,371.61,1.168425,61306284.0,508298915,0.00163,0.00163,358283242,0.0003,15673,1500,-3.5938,0.5131,0.1656,137,0.03,1026
1027,1824,competitor,pid,True,11607,27397.0,46.79,516.94,3.330071,45186304.0,520066496,0.001708,0.001708,370051547,0.0008,14949,1464,-4.7605,0.25,0.174,144,0.03,1027
1028,1824,competitor,pid,True,10971,27397.0,53.06,469.92,2.607678,33606154.0,518000698,0.001937,0.001937,367979949,0.0006,20749,1537,-5.0,0.25,0.1867,116,0.03,1028
1029,1824,competitor,pid,True,9483,42259.0,52.97,372.55,2.001067,80938431.0,507519944,0.001254,0.001254,357507744,0.0005,12200,1476,-4.3647,0.3856,0.1933,131,0.03,1029
1000,1824,competitor,pid,True,10911,56096.0,76.35,445.16,1.807413,75544832.0,510143802,0.001361,0.001361,360133503,0.0004,10299,1405,-2.7396,0.5119,0.16,141,0.05,1000
1001,1824,competitor,pid,True,11184,27397.0,58.43,466.88,2.209764,42807299.0,527048275,0.002133,0.002133,377032488,0.0006,15787,1476,-5.0,0.25,0.1876,129,0.05,1001
1002,1824,competitor,pid,True,11115,27397.0,46.11,473.96,3.10199,40171202.0,515366654,0.001683,0.001683,365343284,0.0008,23370,1539,-5.0,0.25,0.172,144,0.05,1002
1003,1824,competitor,pid,True,11703,27397.0,35.06,544.42,4.691885,29312434.0,517842241,0.00128,0.00128,367823789,0.0007,18452,1570,-5.0,0.25,0.178,142,0.05,1003
1004,1824,competitor,pid,True,8906,65479.0,93.83,336.91,1.045364,82926304.0,492087418,0.001433,0.001433,342075684,0.0004,11734,1465,-3.2696,0.5975,0.1756,126,0.05,1004
1005,1824,competitor,pid,True,11687,27397.0,24.92,531.64,6.16121,34449272.0,515536545,0.00091,0.00091,365523983,0.0008,12562,1539,-5.0,0.25,0.1646,146,0.05,1005
1006,1824,competitor,pid,True,11325,27397.0,41.54,539.74,4.001334,37011338.0,514033588,0.001516,0.001516,364023599,0.0009,9989,1559,-5.0,0.25,0.1669,150,0.05,1006
1007,1824,competitor,pid,True,9706,34617.0,36.25,417.68,3.667303,46071585.0,500509215,0.001047,0.001047,350489749,0.0006,19466,1549,-4.7664,0.3159,0.1807,116,0.05,1007
1008,1824,competitor,pid,True,10313,53767.0,63.92,409.58,1.855997,57350589.0,510667446,0.001189,0.001189,360656064,0.0003,11382,1455,-3.2553,0.4906,0.1675,132,0.05,1008
1009,1824,competitor,pid,True,11613,27397.0,39.28,545.91,4.290021,49939762.0,515027794,0.001434,0.001434,365023170,0.0005,4624,1506,-5.0,0.25,0.1766,141,0.05,1009
1010,1824,competitor,pid,True,9064,40900.0,78.95,358.19,1.409142,56114116.0,502145243,0.00193,0.00193,352137406,0.0005,7837,1501,-4.6751,0.3732,0.1834,113,0.05,1010
1011,1824,competitor,pid,True,9932,58301.0,86.99,443.52,1.586608,142550277.0,483532291,0.001492,0.001492,333504985,0.0004,27306,1329,-3.158,0.532,0.1847,108,0.05,1011
1012,1824,competitor,pid,True,9646,46843.0,55.59,347.38,1.940298,58258145.0,499997255,0.001187,0.001187,349984950,0.0005,12305,1489,-3.9728,0.4274,0.1612,128,0.05,1012
1013,1824,competitor,pid,True,11405,27397.0,42.68,497.34,3.522438,72616948.0,506545447,0.001558,0.001558,356528748,0.0008,16699,1445,-5.0,0.25,0.1706,138,0.05,1013
