fraud_rate_pct,total_slashed,honest_yield_impact_pct,surviving_mercs,surviving_honest,total_active_final,poc,seed
0.1004,3000000.0,0.0,150,850,1000,True,5078
0.1013,3000000.0,0.0,150,850,1000,True,5079
0.088,3000000.0,0.0,150,850,1000,True,5080
0.0985,3000000.0,0.0,150,850,1000,True,5081
0.0997,3000000.0,0.0,150,850,1000,True,5082
0.0941,3000000.0,0.0,150,850,1000,True,5083
0.088,3000000.0,0.0,150,850,1000,True,5084
0.0951,3000000.0,0.0,150,850,1000,True,5085
0.0963,3000000.0,0.0,150,850,1000,True,5086
0.0858,3000000.0,0.0,150,850,1000,True,5087
0.0951,3000000.0,0.0,150,850,1000,True,5088
0.0942,3000000.0,0.0,150,850,1000,True,5089
0.0942,3000000.0,0.0,150,850,1000,True,5090
0.0953,3000000.0,0.0,150,850,1000,True,5091
0.0974,3000000.0,0.0,150,850,1000,True,5092
0.095,3000000.0,0.0,150,850,1000,True,5093
0.0971,3000000.0,0.0,150,850,1000,True,5094
0.0867,3000000.0,0.0,150,850,1000,True,5095
0.0976,3000000.0,0.0,150,850,1000,True,5096
0.0877,3000000.0,0.0,150,850,1000,True,5097
0.0995,3000000.0,0.0,150,850,1000,True,5098
0.0951,3000000.0,0.0,150,850,1000,True,5099
3.0348,0.0,0.0,150,850,1000,False,5000
2.9701,0.0,0.0,150,850,1000,False,5001
3.0156,0.0,0.0,150,850,1000,False,5002
3.1271,0.0,0.0,150,850,1000,False,5003
2.9203,0.0,0.0,150,850,1000,False,5004
3.0008,0.0,0.0,150,850,1000,False,5005
2.9797,0.0,0.0,150,850,1000,False,5006
2.9521,0.0,0.0,150,850,1000,False,5007
3.0427,0.0,0.0,150,850,1000,False,5008
3.1449,0.0,0.0,150,850,1000,False,5009
3.0455,0.0,0.0,150,850,1000,False,5010
3.0603,0.0,0.0,150,850,1000,False,5011
3.0227,0.0,0.0,150,850,1000,False,5012
2.9855,0.0,0.0,150,850,1000,False,5013
3.0512,0.0,0.0,150,850,1000,False,5014
3.1288,0.0,0.0,150,850,1000,False,5015
2.9627,0.0,0.0,150,850,1000,False,5016
2.8879,0.0,0.0,150,850,1000,False,5017
3.0205,0.0,0.0,150,850,1000,False,5018
2.8956,0.0,0.0,150,850,1000,False,5019
3.0274,0.0,0.0,150,850,1000,False,5020
2.8882,0.0,0.0,150,850,1000,False,5021
3.0356,0.0,0.0,150,850,1000,False,5022
3.0762,0.0,0.0,150,850,1000,False,5023
3.0784,0.0,0.0,150,850,1000,False,5024
3.0236,0.0,0.0,150,850,1000,False,5025
2.9822,0.0,0.0,150,850,1000,False,5026
3.0011,0.0,0.0,150,850,1000,False,5027
3.0195,0.0,0.0,150,850,1000,False,5028
2.9896,0.0,0.0,150,850,1000,False,5029
2.9425,0.0,0.0,150,850,1000,False,5030
3.0477,0.0,0.0,150,850,1000,False,5031
3.1833,0.0,0.0,150,850,1000,False,5032
2.9638,0.0,0.0,150,850,1000,False,5033
3.1507,0.0,0.0,150,850,1000,False,5034
3.0162,0.0,0.0,150,850,1000,False,5035
2.9101,0.0,0.0,150,850,1000,False,5036
3.0416,0.0,0.0,150,850,1000,False,5037
3.1789,0.0,0.0,150,850,1000,False,5038
3.0266,0.0,0.0,150,850,1000,False,5039
3.0811,0.0,0.0,150,850,1000,False,5040
2.8616,0.0,0.0,150,850,1000,False,5041
3.1041,0.0,0.0,150,850,1000,False,5042
3.017,0.0,0.0,150,850,1000,False,5043
